Faculty,Abbreviation,Participants - absolute,Party,Votes - absolute,Votes - weighted
Faculty of Theology and Religious Studies,FTRW,9,CD&V,6,14
Faculty of Theology and Religious Studies,FTRW,9,Groen,1,2
Faculty of Theology and Religious Studies,FTRW,9,N-VA,1,2
Faculty of Theology and Religious Studies,FTRW,9,PVDA,1,2
Faculty of Canon Law,BFKR,3,Vlaams Belang,2,3
Faculty of Canon Law,BFKR,3,N-VA,1,2
Institute of Philosophy,HIW,20,PVDA,5,9
Institute of Philosophy,HIW,20,Groen,4,7
Institute of Philosophy,HIW,20,Vooruit,4,7
Institute of Philosophy,HIW,20,Vlaams Belang,3,5
Institute of Philosophy,HIW,20,CD&V,1,2
Institute of Philosophy,HIW,20,I vote blank,1,2
Institute of Philosophy,HIW,20,N-VA,1,2
Institute of Philosophy,HIW,20,Open VLD,1,2
Faculty of Law and Criminology,FRC,375,N-VA,87,37
Faculty of Law and Criminology,FRC,375,Open VLD,71,30
Faculty of Law and Criminology,FRC,375,Groen,55,23
Faculty of Law and Criminology,FRC,375,Vooruit,55,23
Faculty of Law and Criminology,FRC,375,CD&V,50,21
Faculty of Law and Criminology,FRC,375,Vlaams Belang,30,13
Faculty of Law and Criminology,FRC,375,PVDA,18,8
Faculty of Law and Criminology,FRC,375,I'm not going to vote,4,2
Faculty of Law and Criminology,FRC,375,I vote blank,2,1
Faculty of Law and Criminology,FRC,375,Voor U,2,1
Faculty of Law and Criminology,FRC,375,L'Unie,1,0
Faculty of Economics and Business,FEB,50,N-VA,27,137
Faculty of Economics and Business,FEB,50,Vlaams Belang,8,40
Faculty of Economics and Business,FEB,50,Groen,4,20
Faculty of Economics and Business,FEB,50,Open VLD,4,20
Faculty of Economics and Business,FEB,50,Vooruit,3,15
Faculty of Economics and Business,FEB,50,CD&V,2,10
Faculty of Economics and Business,FEB,50,PVDA,1,5
Faculty of Economics and Business,FEB,50,Voor U,1,5
Faculty of Social Sciences,FSW,107,Vooruit,28,29
Faculty of Social Sciences,FSW,107,Groen,19,20
Faculty of Social Sciences,FSW,107,N-VA,13,14
Faculty of Social Sciences,FSW,107,PVDA,13,14
Faculty of Social Sciences,FSW,107,CD&V,12,12
Faculty of Social Sciences,FSW,107,Open VLD,10,10
Faculty of Social Sciences,FSW,107,Vlaams Belang,7,7
Faculty of Social Sciences,FSW,107,I vote blank,2,2
Faculty of Social Sciences,FSW,107,L'Unie,2,2
Faculty of Social Sciences,FSW,107,I'm not going to vote,1,1
Faculty of Arts,LETT,399,Groen,109,33
Faculty of Arts,LETT,399,Vooruit,73,22
Faculty of Arts,LETT,399,PVDA,63,19
Faculty of Arts,LETT,399,N-VA,50,15
Faculty of Arts,LETT,399,CD&V,41,12
Faculty of Arts,LETT,399,Open VLD,25,8
Faculty of Arts,LETT,399,Vlaams Belang,17,5
Faculty of Arts,LETT,399,L'Unie,10,3
Faculty of Arts,LETT,399,Partij Blanco,6,2
Faculty of Arts,LETT,399,I vote blank,2,1
